"Product","Package ID","Status","Category","Tags","Strain","Vendor","Room","Available","Current price","Unit price (Inventory)","External package ID","Expiration date","Image URL","THC","THCA","CBD","CBN","Retail ID"
Strike Banana Tang Vape Cartridge - 1G,1A411030000814D000007066,,Vapes,,[GL] Banana Tang,Green Lightning MIPS,Quarantine Room,1,36,36,1A411030000814D000007066,12/10/2026,https://leaflogixmedia.blob.core.windows.net/product-image/84f649c1-47a6-4d34-8355-563f26aeb424.jpg,91.30 %,0.00 %,0.00 %,0.00 %,1A411030000814D000008120
Strike Banana Tang Vape Cartridge - 1G,1A411030000814D000007066,,Vapes,,[GL] Banana Tang,Green Lightning MIPS,Quarantine Room,1,36,36,1A411030000814D000007066,12/10/2026,https://leaflogixmedia.blob.core.windows.net/product-image/84f649c1-47a6-4d34-8355-563f26aeb424.jpg,91.30 %,0.00 %,0.00 %,0.00 %,1A411030000814D000008120
&Shine Fruit Punch Gummies 10pk - 100mg,1A4110300001CE9000269341,,Edibles,Gummies,No Strain,GTI,Vault,17,15,15,1A4110300001CE9000269341,12/9/2026,https://leaflogixmedia.blob.core.windows.net/product-image/97337083-89f9-46ab-b4eb-23e567f33cf4.jpg,3.29 mg/g,0.00 mg/g,0.00 mg/g,0.00 mg/g,
High Grass Premium Garlic Ice Cream Preroll 1pk - 1g,1A4110300006A41000009429,,Pre-Rolls,Hybrid,[HGF] Garlic Ice Cream,High Grass Farms,Vault,48,14,14,1A4110300006A41000009429,12/29/2026,https://leaflogixmedia.blob.core.windows.net/product-image/ff5f5259-438b-4dfb-843f-973f6cc984a7.jpg,,,,,
Belushi Farms Hash Burger Pre-roll 1pk - 1g,1A4110300006A41000009428,,Pre-Rolls,Preroll 1g,[HGF] Hash Burger,High Grass Farms,Vault,50,12,12,1A4110300006A41000009428,12/29/2026,https://leaflogixmedia.blob.core.windows.net/product-image/b543a4f0-db4a-4ad7-bf47-ddc43f0a4314.jpg,,,,,
Jerzy Landscapes Hybrid Solventless RSO Syringe - 1g,1A4110300009025000003353,,Concentrate,RSO,No Strain,High Grass Farms,Vault,22,35,35,1A4110300009025000003353,12/10/2026,https://leaflogixmedia.blob.core.windows.net/product-image/b85a0a26-b5b4-4f8a-a5dd-2a2fc74cd96a.jpg,,,,,
The Blues Brothers Sativa Brick Hash - 1g,1A4110300009025000003352,,Concentrate,"Sativa, Hash",No Strain,High Grass Farms,Vault,18,40,40,1A4110300009025000003352,12/15/2026,https://leaflogixmedia.blob.core.windows.net/product-image/b3a6d02c-87bf-4144-be61-4606c5599ed0.jpg,,,,,
The Blues Brothers Indica Brick Hash - 1g,1A4110300009025000003351,,Concentrate,"Sativa, Hash",No Strain,High Grass Farms,Vault,18,40,40,1A4110300009025000003351,12/17/2026,https://leaflogixmedia.blob.core.windows.net/product-image/a84a5953-c151-4b4d-ac24-f3420dd7a355.jpg,,,,,
Good Green 95 Cookies - 3.5g Mixed Buds,1A4110300001CE9000269356,,Flower,"Hybrid, Mixed Buds",[GTI] 95 Cookies,GTI,Vault,29,40,40,1A4110300001CE9000269356,12/2/2026,https://leaflogixmedia.blob.core.windows.net/product-image/7eea729e-b826-4dce-bea6-6cb9c9aba43d.jpg,31.29 %,35.38 %,0.00 %,0.00 %,
Victory Natural Acapulco Gold - 3.5,1A4110300007F59000004147,,Flower,,[SH] Acapulco Gold,Victory Natural Farms MIPS,Vault,31,58,58,1A4110300007F59000004147,10/8/2026,https://leaflogixmedia.blob.core.windows.net/product-image/b6ef7d72-775b-4712-9247-200496a0ffb4.jpg,,,,,
Victory Natural Farms Sour Blueberry - 3.5,1A4110300007F59000004150,,Flower,,[SH] Sour Blueberry,Victory Natural Farms MIPS,Vault,32,58,58,1A4110300007F59000004150,9/23/2026,https://leaflogixmedia.blob.core.windows.net/product-image/bd1c34f1-bfe4-4f9d-a438-907be34c32f4.jpg,,,,,
Victory Natural Farms Bubba Kush - 3.5,1A4110300007F59000004149,,Flower,,[SH] Bubba Kush,Victory Natural Farms MIPS,Vault,31,58,58,1A4110300007F59000004149,2/26/2027,https://leaflogixmedia.blob.core.windows.net/product-image/08760350-19f7-4f1b-bb29-98678c81980a.jpg,,,,,
Joyibles JOY BOMBS -Tropical Haze - 100mg,1A4110300006C99000075738,,Edibles,,No Strain,Victory Natural Farms MIPS,Vault,24,28,28,1A4110300006C99000075738,11/20/2026,https://leaflogixmedia.blob.core.windows.net/product-image/5402556c-5810-45ae-a779-3d292453f5da.jpg,,,,,
Major Sugar Free Lemonade Fast Acting Shot - 100mg,1A4110300006C99000075740,,Edibles,,No Strain,Victory Natural Farms MIPS,Vault,20,20,20,1A4110300006C99000075740,10/29/2026,https://leaflogixmedia.blob.core.windows.net/product-image/92e27099-7389-4e6c-82ae-ab0b9e8e3fe0.jpg,,,,,
Major Mojo Rita Fast Acting Shot - 100mg,1A4110300006C99000075739,,Edibles,,No Strain,Victory Natural Farms MIPS,Vault,21,20,20,1A4110300006C99000075739,10/29/2026,https://leaflogixmedia.blob.core.windows.net/product-image/df62f3e4-90d2-45b3-a3d4-34cb4b9c3cb7.jpg,,,,,
Joyibles JOY BOMBS - Origninal - 100mg,1A4110300006C99000075737,,Edibles,,No Strain,Victory Natural Farms MIPS,Vault,10,28,28,1A4110300006C99000075737,11/26/2026,https://leaflogixmedia.blob.core.windows.net/product-image/6ce9ec82-4d50-4d02-9b0a-887ba64cd209.jpg,,,,,
Cheeba Chews RSO Infused Indica Chocolate Taffy - 100mg,1A4110300006C99000075734,,Edibles,,No Strain,Victory Natural Farms MIPS,Vault,17,22,22,1A4110300006C99000075734,12/3/2026,https://leaflogixmedia.blob.core.windows.net/product-image/1fed4c5e-9cdf-4f6c-8d0d-5f9f76169f8f.jpg,,,,,
Cheeba Chews RSO Infused Hybrid  Caramel Taffy - 100mg,1A4110300006C99000075733,,Edibles,,No Strain,Victory Natural Farms MIPS,Vault,19,22,22,1A4110300006C99000075733,9/23/2026,https://leaflogixmedia.blob.core.windows.net/product-image/a3fcf0c6-f0f1-49f7-9a45-ea250cc062b9.jpg,,,,,
Cheeba Chews Charged Mocha Chocolate 2:1 THC:THCV - 100mg,1A4110300006C99000075729,,Edibles,,No Strain,Victory Natural Farms MIPS,Vault,14,22,22,1A4110300006C99000075729,12/3/2026,https://leaflogixmedia.blob.core.windows.net/product-image/7e00102c-9430-4d9f-a102-525a54c57ea8.jpg,,,,,
Joyibles JOY BOMBS - Origninal - 100mg,1A4110300006C99000075737,,Edibles,,No Strain,Victory Natural Farms MIPS,Vault,9,28,28,1A4110300006C99000075737,,https://leaflogixmedia.blob.core.windows.net/product-image/6ce9ec82-4d50-4d02-9b0a-887ba64cd209.jpg,,,,,
Drool Recovery Stick 1:1:1 - 500mg,1A4110300006C99000075736,,Topical,,No Strain,Victory Natural Farms MIPS,Vault,9,60,60,1A4110300006C99000075736,11/13/2026,https://leaflogixmedia.blob.core.windows.net/product-image/a1f6510d-576b-472e-b154-20955838c369.jpg,,,,,
Drool DownTime Stick 2:1:1 - 500mg,1A4110300006C99000075735,,Topical,AIO,No Strain,Victory Natural Farms MIPS,Vault,10,45,24,1A4110300006C99000075735,9/30/2026,https://leaflogixmedia.blob.core.windows.net/product-image/2c5ac32b-ebf2-49cb-bfc0-bbf08964059c.jpg,,,,,
Victory Natural Farms Bubba Kush Preroll 0.7g 5pk -3.5g,1A4110300007F59000004148,,Pre-Rolls,,[SH] Bubba Kush,Victory Natural Farms MIPS,Vault,10,54,54,1A4110300007F59000004148,2/26/2027,https://leaflogixmedia.blob.core.windows.net/product-image/18802859-7ca8-4610-80b2-890ca10791fa.jpg,,,,,
Pack Pods Gelato Freeze Disposable  - 2g,1A4110300006C99000075743,,All-in-one Disposable,2g AIO,No Strain,Victory Natural Farms MIPS,Vault,2,90,90,1A4110300006C99000075743,9/4/2026,https://leaflogixmedia.blob.core.windows.net/product-image/c613e4f7-1ce4-4e2b-ac85-0151ba177900.jpg,,,,,
Pack Pods Blue Slurpie Disposable  - 2g,1A4110300006C99000075742,,All-in-one Disposable,2g AIO,No Strain,Victory Natural Farms MIPS,Vault,2,90,90,1A4110300006C99000075742,8/19/2026,https://leaflogixmedia.blob.core.windows.net/product-image/87c06747-41f3-45d8-8c26-c97a854ea833.jpg,,,,,
Packs Blue Zkittlez Classic Blunt  - 2.5g,1A4110300006C99000075741,,Pre-Rolls,Preroll Pack,No Strain,Victory Natural Farms MIPS,Vault,4,68,68,1A4110300006C99000075741,8/13/2026,https://leaflogixmedia.blob.core.windows.net/product-image/50485836-8220-4fdb-aeeb-a6d11a43e0f4.jpg,,,,,
(sample) Packs Blue Zkittlez Classic Blunt  - 2.5g,1A4110300006C99000075744,,Pre-Rolls,Preroll Pack,No Strain,Victory Natural Farms MIPS,Vault,1,68,68,1A4110300006C99000075744,,https://leaflogixmedia.blob.core.windows.net/product-image/f1addad1-9d8d-4523-96f0-9e88e9c0584f.jpg,,,,,
Rythm Maui Wowie Liquid Diamonds AIO - 1g,1A4110300001CE9000269316,,Vapes,"Sativa, Vape 2g, AIO, Liquid Diamonds",[GTI] Maui Wowie,GTI,Receiving Room,25,70,70,1A4110300001CE9000269316,11/13/2026,https://leaflogixmedia.blob.core.windows.net/product-image/ab883877-996c-49a5-ba07-e8afba0b881a.jpg,91.45 %,0.00 %,0.00 %,0.08 %,
